row,col,data
0,679,1.0
1,1376,1.0
2,1495,1.0
3,502,1.0
4,502,1.0
5,502,1.0
6,502,1.0
7,502,1.0
8,502,1.0
9,156,1.0
10,163,1.0
11,1325,1.0
12,1275,1.0
13,789,1.0
14,878,1.0
15,1868,1.0
16,1868,1.0
17,362,1.0
18,1358,1.0
19,1358,1.0
20,1358,1.0
21,1358,1.0
22,1358,1.0
23,1358,1.0
24,1358,1.0
25,1358,1.0
26,1358,1.0
27,1358,1.0
28,1358,1.0
29,1358,1.0
30,1358,1.0
31,1358,1.0
32,1358,1.0
33,1358,1.0
34,1667,1.0
35,716,1.0
36,406,1.0
37,1120,1.0
38,1120,1.0
39,962,1.0
40,962,1.0
41,1817,1.0
42,716,1.0
43,972,1.0
44,397,1.0
45,397,1.0
46,1847,1.0
47,1241,1.0
48,588,1.0
49,570,1.0
50,733,1.0
51,2003,1.0
52,1803,1.0
53,1803,1.0
54,1803,1.0
55,1803,1.0
56,1803,1.0
57,1121,1.0
58,1904,1.0
59,1849,1.0
60,87,1.0
61,87,1.0
62,87,1.0
63,87,1.0
64,87,1.0
65,87,1.0
66,87,1.0
67,87,1.0
68,87,1.0
69,87,1.0
70,87,1.0
71,197,1.0
72,197,1.0
73,519,1.0
74,1868,1.0
75,1868,1.0
76,1868,1.0
77,1359,1.0
78,75,1.0
79,1460,1.0
80,1460,1.0
81,1460,1.0
82,1460,1.0
83,1460,1.0
84,1460,1.0
85,855,1.0
86,855,1.0
87,1460,1.0
88,1460,1.0
89,1460,1.0
90,1460,1.0
91,855,1.0
92,1460,1.0
93,855,1.0
94,1460,1.0
95,1460,1.0
96,855,1.0
97,855,1.0
98,855,1.0
99,855,1.0
100,855,1.0
101,855,1.0
102,855,1.0
103,855,1.0
104,855,1.0
105,1460,1.0
106,1460,1.0
107,855,1.0
108,1460,1.0
109,1460,1.0
110,1460,1.0
111,1460,1.0
112,362,1.0
113,1460,1.0
114,1460,1.0
115,1460,1.0
116,362,1.0
117,1460,1.0
118,362,1.0
119,1460,1.0
120,1460,1.0
121,587,1.0
122,8,1.0
123,602,1.0
124,753,1.0
125,1992,1.0
126,1938,1.0
127,1938,1.0
128,1350,1.0
129,1350,1.0
130,1350,1.0
131,1495,1.0
132,1495,1.0
133,17,1.0
134,1961,1.0
135,1574,1.0
136,948,1.0
137,1190,1.0
138,116,1.0
139,1670,1.0
140,1376,1.0
141,1376,1.0
142,1376,1.0
143,1376,1.0
144,1075,1.0
145,1075,1.0
146,1075,1.0
147,547,1.0
148,116,1.0
149,935,1.0
150,1718,1.0
151,985,1.0
152,985,1.0
153,985,1.0
154,985,1.0
155,985,1.0
156,397,1.0
157,397,1.0
158,397,1.0
159,1113,1.0
160,985,1.0
161,985,1.0
162,985,1.0
163,985,1.0
164,721,1.0
165,684,1.0
166,684,1.0
167,1681,1.0
168,116,1.0
169,1190,1.0
170,1190,1.0
171,1190,1.0
172,1190,1.0
173,1190,1.0
174,1190,1.0
175,824,1.0
176,1190,1.0
177,794,1.0
178,77,1.0
179,1190,1.0
180,1519,1.0
181,194,1.0
182,228,1.0
183,27,1.0
184,1718,1.0
185,939,1.0
186,1574,1.0
187,1718,1.0
188,1574,1.0
189,1718,1.0
190,228,1.0
191,1574,1.0
192,1574,1.0
193,1632,1.0
194,1574,1.0
195,1574,1.0
196,1574,1.0
197,1574,1.0
198,194,1.0
199,194,1.0
200,570,1.0
201,570,1.0
202,156,1.0
203,1429,1.0
204,156,1.0
205,985,1.0
206,985,1.0
207,88,1.0
208,88,1.0
209,88,1.0
210,1718,1.0
211,116,1.0
212,745,1.0
213,745,1.0
214,1190,1.0
215,116,1.0
216,116,1.0
217,116,1.0
218,1213,1.0
219,116,1.0
220,1670,1.0
221,1190,1.0
222,963,1.0
223,1159,1.0
224,77,1.0
225,538,1.0
226,1477,1.0
227,985,1.0
228,985,1.0
229,985,1.0
230,985,1.0
231,985,1.0
232,985,1.0
233,985,1.0
234,985,1.0
235,70,1.0
236,796,1.0
237,796,1.0
238,796,1.0
239,796,1.0
240,796,1.0
241,796,1.0
242,796,1.0
243,1856,1.0
244,919,1.0
245,919,1.0
