row,col,data
2,4,1.0
7,10,1.0
8,4,1.0
10,4,1.0
12,4,1.0
13,4,1.0
14,7,1.0
15,4,1.0
16,4,1.0
17,6,1.0
18,4,1.0
19,4,1.0
20,4,1.0
21,5,1.0
22,4,1.0
23,5,1.0
26,3,1.0
27,4,1.0
28,3,1.0
31,7,1.0
32,4,1.0
33,6,1.0
34,4,1.0
35,2,1.0
36,3,1.0
37,6,1.0
38,4,1.0
39,4,1.0
40,2,1.0
41,2,1.0
42,3,1.0
43,8,1.0
44,8,1.0
45,4,1.0
46,4,1.0
47,4,1.0
48,3,1.0
49,8,1.0
50,5,1.0
51,6,1.0
52,7,1.0
53,6,1.0
54,1,1.0
55,4,1.0
56,5,1.0
57,5,1.0
58,10,1.0
59,5,1.0
60,9,1.0
61,5,1.0
62,6,1.0
63,5,1.0
64,2,1.0
65,4,1.0
66,6,1.0
67,5,1.0
68,4,1.0
69,7,1.0
70,9,1.0
71,4,1.0
72,3,1.0
73,6,1.0
74,5,1.0
75,7,1.0
76,6,1.0
77,5,1.0
78,6,1.0
79,8,1.0
80,6,1.0
81,5,1.0
82,5,1.0
83,7,1.0
84,5,1.0
85,5,1.0
86,4,1.0
87,3,1.0
88,3,1.0
89,5,1.0
90,10,1.0
91,4,1.0
92,3,1.0
93,6,1.0
94,4,1.0
95,6,1.0
96,3,1.0
97,3,1.0
98,2,1.0
99,3,1.0
100,4,1.0
101,7,1.0
102,7,1.0
103,5,1.0
104,4,1.0
105,3,1.0
106,2,1.0
107,6,1.0
108,4,1.0
109,5,1.0
110,10,1.0
111,8,1.0
112,7,1.0
113,4,1.0
114,6,1.0
115,6,1.0
116,3,1.0
117,6,1.0
118,5,1.0
119,5,1.0
120,5,1.0
121,6,1.0
122,4,1.0
123,4,1.0
124,4,1.0
125,6,1.0
126,6,1.0
127,6,1.0
128,4,1.0
129,5,1.0
130,2,1.0
131,7,1.0
132,4,1.0
133,6,1.0
134,4,1.0
135,4,1.0
136,5,1.0
137,5,1.0
138,4,1.0
139,5,1.0
140,2,1.0
141,4,1.0
142,5,1.0
143,4,1.0
144,6,1.0
145,3,1.0
146,6,1.0
147,2,1.0
148,3,1.0
149,5,1.0
150,3,1.0
151,5,1.0
152,7,1.0
153,4,1.0
154,5,1.0
155,6,1.0
156,5,1.0
157,6,1.0
158,4,1.0
159,5,1.0
160,6,1.0
161,7,1.0
162,4,1.0
163,7,1.0
164,8,1.0
165,5,1.0
166,6,1.0
167,7,1.0
168,6,1.0
169,10,1.0
170,7,1.0
171,8,1.0
172,6,1.0
