row,col,data
0,6,1.0
0,0,1.0
1,7,1.0
1,0,1.0
2,5,1.0
3,0,1.0
4,5,1.0
4,0,1.0
5,3,1.0
5,0,1.0
6,0,1.0
7,6,1.0
9,5,1.0
9,0,1.0
10,7,1.0
11,5,1.0
11,0,1.0
12,7,1.0
13,7,1.0
14,6,1.0
15,4,1.0
16,6,1.0
17,2,1.0
21,7,1.0
22,6,1.0
23,6,1.0
24,6,1.0
24,0,1.0
25,7,1.0
25,0,1.0
26,7,1.0
27,2,1.0
28,4,1.0
29,7,1.0
29,0,1.0
30,6,1.0
30,0,1.0
31,3,1.0
32,4,1.0
33,2,1.0
34,7,1.0
37,7,1.0
39,7,1.0
40,7,1.0
41,7,1.0
42,6,1.0
43,7,1.0
44,6,1.0
45,5,1.0
46,6,1.0
47,6,1.0
48,4,1.0
51,6,1.0
53,6,1.0
54,7,1.0
55,6,1.0
56,6,1.0
57,6,1.0
58,6,1.0
61,7,1.0
63,5,1.0
64,7,1.0
65,7,1.0
66,7,1.0
67,6,1.0
68,6,1.0
69,6,1.0
70,6,1.0
71,7,1.0
72,6,1.0
73,4,1.0
75,5,1.0
76,5,1.0
77,6,1.0
78,6,1.0
79,6,1.0
80,6,1.0
81,6,1.0
82,6,1.0
85,7,1.0
88,7,1.0
89,4,1.0
90,6,1.0
92,6,1.0
93,6,1.0
95,6,1.0
96,6,1.0
97,6,1.0
98,6,1.0
99,6,1.0
101,7,1.0
102,6,1.0
103,4,1.0
104,6,1.0
105,7,1.0
106,7,1.0
107,6,1.0
109,4,1.0
110,6,1.0
111,6,1.0
112,6,1.0
113,6,1.0
114,7,1.0
115,6,1.0
117,5,1.0
118,6,1.0
119,4,1.0
120,7,1.0
121,5,1.0
122,2,1.0
123,7,1.0
124,4,1.0
125,4,1.0
126,7,1.0
127,7,1.0
128,7,1.0
129,5,1.0
130,6,1.0
131,5,1.0
132,7,1.0
133,6,1.0
134,6,1.0
135,7,1.0
137,5,1.0
138,6,1.0
139,7,1.0
140,6,1.0
141,7,1.0
142,6,1.0
143,5,1.0
144,6,1.0
145,6,1.0
147,6,1.0
148,2,1.0
149,7,1.0
150,6,1.0
151,6,1.0
152,6,1.0
153,7,1.0
154,6,1.0
155,6,1.0
156,7,1.0
157,7,1.0
158,6,1.0
159,6,1.0
160,7,1.0
161,6,1.0
162,7,1.0
163,5,1.0
165,6,1.0
166,6,1.0
167,7,1.0
168,6,1.0
169,6,1.0
170,6,1.0
172,6,1.0
173,6,1.0
174,7,1.0
175,7,1.0
176,5,1.0
177,6,1.0
178,4,1.0
179,6,1.0
180,7,1.0
181,5,1.0
182,4,1.0
183,6,1.0
184,6,1.0
185,7,1.0
